1 1
2 3
3 7
4 20
5 59
6 208
7 807
8 3415
9 14343
10 55991
11 188730
12 490322
13 854638
14 914444
15 607164
16 274212
17 94085
18 25786
19 5699
20 1107
21 250
22 73
23 27
24 8
25 1

